label,ticker
Bitcoin,BTC-USD
Berkshire Hathaway Inc.,BRK-B
Amazon,AMZN
Accor,AC.PA
Air Liquide,AI.PA
AIRBUS,AIR.PA
ARCELORMITTAL SA,MT.PA
Atos,ATO.PA
AXA,CS.PA
BNP Paribas,BNP.PA
Bouygues,EN.PA
Capgemini,CAP.PA
Carrefour,CA.PA
Crédit Agricole,ACA.PA
Danone,BN.PA
Dassault Systèmes,DSY.PA
Engie,ENGI.PA
Essilor,EL.PA
Hermès International,RMS.PA
Kering,KER.PA
L'Oréal,OR.PA
Legrand,LR.PA
LVMH,MC.PA
Michelin,ML.PA
Orange,ORA.PA
Pernod Ricard,RI.PA
Peugeot,UG.PA
Publicis Groupe,PUB.PA
Renault,RNO.PA
Safran,SAF.PA
Saint-Gobain,SGO.PA
Sanofi,SAN.PA
Schneider Electric,SU.PA
Société Générale,GLE.PA
Sodexo,SW.PA
STMicroelectronics,STM.PA
TechnipFMC,FTI.PA
Thales,HO.PA
Total,FP.PA
UNIBAIL-WFD UNIBAI,URW.PA
Veolia Environnement,VIE.PA
VINCI,DG.PA
Vivendi,VIV.PA
